sigma_hat,nearest,linear,clough-tocher,gaussian
1.0,0.0003656410068400202,0.00024209462240694826,0.00042376534267848546,0.0009744143336085815
10.0,0.00036566601201266734,0.00024211597564106102,0.0004248585899314509,0.0009744875744150788
100.0,0.00042043845827034493,0.0003028431036037942,0.0004708078826246628,0.0011103580883436398
1000.0,0.00042043845827034493,0.0003028431036037942,0.0004708078826246628,0.0011103580883436398
10000.0,0.00042043845827034493,0.0003028431036037942,0.0004708078826246628,0.0011103580883436398
100000.0,0.00042043845827034493,0.0003028431036037942,0.0004708078826246628,0.0011103580883436398
0.1,0.0003633729590595589,0.00024024362428529074,0.0004211329579638781,0.0009714306850924386
20.0,0.00036707873196912036,0.00024382377386063264,0.0004248587994433415,0.000981774439494024
30.0,0.00042043845827034493,0.0003028431036037942,0.0004708078826246628,0.0011103580883436398
40.0,0.00042043845827034493,0.0003028431036037942,0.0004708078826246628,0.0011103580883436398
22.0,0.0003670787426414554,0.00024382378256439813,0.0004248588117070885,0.000981774453842856
24.0,0.00042043845827034493,0.0003028431036037942,0.0004708078826246628,0.0009817744647730288
26.0,0.00042043845827034493,0.0003028431036037942,0.0004708078826246628,0.0009817744733102126
28.0,0.00042043845827034493,0.0003028431036037942,0.0004708078826246628,0.0011103580883436398
25.0,0.00042043845827034493,0.0003028431036037942,0.0004708078826246628,0.0009817744692972605
27.0,0.00042043845827034493,0.0003028431036037942,0.0004708078826246628,0.0009817744768919239
23.0,0.00042043845827034493,0.0003028431036037942,0.0004708078826246628,0.0009817744596658641
23.5,0.00042043845827034493,0.0003028431036037942,0.0004708078826246628,0.0009817744623026375
27.5,0.00042043845827034493,0.0003028431036037942,0.0004708078826246628,0.0009817744785397082
22.5,0.0003670787448852326,0.0002438237843945631,0.0004708078826246628,0.0009817744568494842
22.75,0.00042043845827034493,0.00024382378526311763,0.0004708078826246628,0.0009817744582804433
27.75,0.00042043845827034493,0.0003028431036037942,0.0004708078826246628,0.0009817744793309332
22.25,0.00036707874378242076,0.0002438237834933901,0.0004708078826246628,0.0009817744553673262
