alpha,nearest,linear,clough-tocher,gaussian
500.0,7.849786290638304e-20,4.8379923072422794e-20,9.842676089922785e-20,1.573078676320639e-19
50.0,7.849787034199563e-16,4.837991005714694e-16,9.842680341571123e-16,1.5730783821880434e-15
10.0,4.906102378535891e-13,3.02372335696349e-13,6.151663841107669e-13,9.831765424101793e-13
1.0,4.90548454210163e-09,3.0232202988925573e-09,6.150907584618233e-09,9.829735141514115e-09
0.5,7.846364880744365e-08,4.835267581394382e-08,9.838170988840778e-08,1.5718443773060793e-07
0.05,0.0007583915850677415,0.0004583271251640288,0.0009487575562484703,0.0014614844553784909
0.02,0.025459785451870096,0.014763961521990618,0.03121997304824704,0.041839382324728024
0.01,0.3034024264193738,0.15900941399379814,0.3603685793564395,0.35183700139854374
0.005,2.935475753289672,1.5223497694312473,3.303477897895407,2.7521745253664682
0.002,35.45983389724363,16.413616370431427,24.95777112417795,23.53153312642035
0.001,114.46425687097033,7.957547530231641,52.58379160993108,19.68975715495754
0.0005,82.64368752267082,78.33584673262946,71.89240079717295,87.68942341677537
5e-05,105.80908115852318,100.68996813151611,100.005187943012,115.78233902228087
