alpha,nearest,linear,clough-tocher,gaussian
500.0,9.478819624199834e-20,7.7095356671762e-20,1.0940787707770406e-19,1.2420207149596895e-19
50.0,9.478802247404002e-16,7.709530628932924e-16,1.0940754274463169e-15,1.2420203952342674e-15
10.0,5.924263501184179e-13,4.818458189804609e-13,6.837989126339701e-13,7.762549860216693e-13
1.0,5.92337928029924e-09,4.817762242424842e-09,6.837114861804934e-09,7.761975982851108e-09
0.5,9.474277306725509e-08,7.706191770470281e-08,1.0936756715514267e-07,1.2415436887519197e-07
0.05,0.0009075475005737796,0.0007396112521863189,0.0010556051113675734,0.0012003898339847032
0.02,0.029404154741282208,0.024458190827897422,0.03498489913458496,0.03883179017554967
0.01,0.3189093873123484,0.272750757019384,0.3831151610461242,0.3861986117593394
0.005,2.6847359321514412,2.316140987579495,3.1595135604796525,2.7095778031534827
0.002,24.67691556723932,27.892963989920307,29.797975454355683,26.88622288986155
0.001,65.03725058316456,15.852611624556882,45.184971187071135,62.87023014741365
0.0005,74.59548138047005,70.99191473927148,87.98084683671514,135.94547325395217
5e-05,101.78550629211378,95.34862119615669,110.5384609479748,162.16258324984491
