alpha,nearest,linear,clough-tocher,gaussian
500.0,0.0007313293889511233,0.0004842277787182544,0.0008475853716259605,0.0019488907458595313
50.0,0.0007313293842591076,0.0004842277749020339,0.0008475853662102818,0.001948890739711531
10.0,0.0007313292705174421,0.00048422768239672696,0.0008475852349221863,0.0019488905906698943
1.0,0.0007313175417051944,0.0004842181427954028,0.000847571696904082,0.0019488752253586862
0.5,0.0007312820117642058,0.0004841892434681173,0.0008475306830827001,0.0019488286667053022
0.05,0.0007267466291498841,0.0004804899860644595,0.0008422637676746933,0.001942845540858277
0.02,0.0007064589359142096,0.00046365763446080705,0.000818199107974146,0.0019160471690779746
0.01,0.0006576334294870096,0.00042191991791076187,0.0007595174653748085,0.0018565183531163527
0.005,0.0005562743318806172,0.00033397213384479655,0.0006407612072960553,0.001753187378241187
0.002,0.00038482764349231723,0.00016371394715424247,0.00043026002644854135,0.001555202909189959
0.001,0.0003417430592801367,0.00025828468817454936,0.0004468771697996712,0.0015250288941430657
0.0005,0.0006842032972679069,0.0004499581828907763,0.0005740667961975197,0.0016422783725183938
5e-05,0.0006753674349398345,0.00044173952788364003,0.0007733387661704761,0.0018901283395935458
