alpha,point_cloud
1000.0,0.1601664475666114
100.0,0.16016635515749178
10.0,0.16015712661588835
1.0,0.15925127329911884
0.1,0.12485542461999466
0.01,0.02791982509197566
0.001,0.004469532894874493
0.0001,0.00557427092235449
1e-05,0.003805980079446085
0.02,0.05110818390061184
0.5,0.15677073593665555
0.2,0.14521058339193182
