alpha,nearest,linear,clough-tocher,gaussian
500.0,3.1565370925005043e-14,3.2399087915766063e-14,3.1639737063181253e-14,2.439496891128154e-14
50.0,3.1565394538286385e-12,3.23991076768769e-12,3.1639748020283255e-12,2.4394974360401454e-12
10.0,7.891328470095201e-11,8.099758518825664e-11,7.90992284378548e-11,6.098711184868323e-11
1.0,7.890034284395229e-09,8.098405389412738e-09,7.90864083653368e-09,6.09787688346475e-09
0.5,3.154960689045957e-08,3.238245797591465e-08,3.162408676704016e-08,2.4383117823219518e-08
0.05,3.0120187584166604e-06,3.087056768876183e-06,3.021983625775284e-06,2.3318784751010324e-06
0.02,1.540162370992836e-05,1.569996751721387e-05,1.5538745587753784e-05,1.1935964047898653e-05
0.01,4.075705598931295e-05,4.114597093834431e-05,4.156156215357524e-05,3.099701087561509e-05
0.005,8.352000493036922e-05,8.35561934964143e-05,8.450356466914554e-05,6.252463662006248e-05
0.002,0.0001215758974196087,0.00014584746361125068,0.00012732930001929264,0.00011303063517655622
0.001,7.029827126639883e-05,7.077960055230932e-05,6.77945924237008e-05,2.7576163708316158e-05
0.0005,1.2879244171677967e-05,1.2917461171291075e-05,1.328417505975017e-05,2.109953771574935e-05
5e-05,2.9220741424492856e-07,2.9352920079293287e-07,2.990350337780744e-07,3.268560888682016e-07
